prompt;completion
Care for Heart Attack ;1. Have the person rest comfortably. 2. If acetylsalicylic acid (ASA) is available, encourage the person to chew 160 to 325 mg (either 1 adult-dose or 2 low-dose ASA tablets), unless the person has an allergy or a contraindication to ASA, such as a bleeding disorder. Ensure that the person thoroughly chews and swallows the ASA. Do not repeat the dosage. 3. If the person takes a prescribed medication to relieve chest pain (nitroglycerin), offer to locate the medication and help the person to take it. If the person has nitroglycerin in a spray or pill form, ensure that the person sprays or places the nitroglycerin under his or her tongue. 4. Reassure the person. Anxiety may increase the person’s discomfort. Other painkilling medications such as acetaminophen (Tylenol) or ibuprofen (Advil) do not have the same effect as ASA in reducing damage due to heart attacks. Do not substitute ASA with acetaminophen or ibuprofen. If given in conjunction with nitroglycerin, erectile dysfunction drugs can cause blood pressure to lower to a life-threatening level. If the person has recently taken an erectile dysfunction drug (in the previous 24 to 48 hours), advise the person not to take nitroglycerin.
Angina;"Angina occurs when the heart requires more oxygen than it is receiving. This occurs when two factors are combined: 1) the arteries are narrowed by cardiovascular disease, reducing blood flow; and 2) the heart’s oxygen needs are elevated (e.g., during times of physical activity or emotional stress). Angina causes a painful squeezing, suffocating, or burning feeling in the chest. Uncontrolled high blood pressure, anemia, and certain heart disorders can all contribute to a person’s risk of angina. The signs and symptoms of angina are similar to the signs and symptoms of a heart attack, but the pain is usually triggered by physical activity or stress, goes away if the person rests, and is often relieved by medication (e.g., nitroglycerin). Because it is not possible for First Aiders to distinguish between angina and a heart attack, you should treat a person with angina as you would treat a person having a heart attack."
Stroke;A stroke happens when the blood flow to part of the brain is interrupted, resulting in the death of brain cells. Strokes can cause permanent brain damage, but with quick action, the damage can sometimes be stopped or reversed. Although strokes are most common in older adults, a person of any age, even a child, can have a stroke.
Causes of Stroke;Ruptured Aneurysm A hemorrhagic stroke occurs when a brain aneurysm ruptures. A brain aneurysm is a swollen, fragile section in the wall of an artery that carries blood to the brain. When it ruptures, it causes bleeding in the surrounding brain tissues, killing the nearby brain cells and causing a stroke. As an intact brain aneurysm usually has no signs or symptoms, it can go undetected. However, an unruptured brain aneurysm may press against areas in the brain and, depending on the severity of the aneurysm and its location, it can cause signs and symptoms such as neck pain, acute headaches, blurred vision, and changes in speech. Blood Clot An ischemic stroke occurs when a clot becomes lodged in an artery of the brain, usually because the artery has been narrowed by cardiovascular disease. The blockage prevents blood from reaching the brain cells it usually supplies. Brain Tumour A stroke can also occur when a tumour in the brain presses on an artery. The tumour has a similar effect to a blood clot, resulting in decreased blood flow or a complete blockage of blood flow to part of the brain.
Prevention from Stroke;Because the risk factors for stroke are similar to those for heart disease, the risk of a stroke can be reduced by following the same lifestyle changes discussed for preventing cardiovascular disease.
Signs of Stroke;"The signs and symptoms of strokes can vary from person to person. A person who is having a stroke may suddenly develop one or more of the following signs and symptoms: A sudden, severe headache, Dizziness or confusion, Unresponsiveness or temporary loss of responsiveness, Sudden loss of bladder or bowel control. When trying to determine if a person is having a stroke, remember the acronym FAST: Facial numbness or F weakness, especially on one side. Arm numbness or weakness, especially on one side. Abnormal speech, difficulty speaking or understanding others, or a loss of speech. Time is important; call EMS/9-1-1 immediately."
Care for Stroke ;"1. Have the person rest in a comfortable position. If the person prefers to lie down, or is unresponsive, drooling, or having trouble swallowing, place the person in the recovery position. 2. Note when the signs and symptoms first started (or, if you do not know when the signs and symptoms started, note the last time the person was known to be well). 3. Monitor the person’s condition and provide reassurance until EMS personnel arrive; a stroke can be an extremely frightening experience."
Transient Ischemic Attack;"A transient ischemic attack or TIA is also referred to as a ""mini-stroke"" and is caused by a temporary drop in blood flow to part of the brain. A TIA may be caused by a tumour or a clot in an artery in the brain. The signs and symptoms of a TIA are the same as the signs and symptoms of a stroke, but they disappear within a few minutes or hours. A person who has had a TIA is at a very high risk of having a stroke in the near future. In fact, more than 10% of people who have a TIA will have a stroke within 3 months, with half of these strokes happening within 48 hours of the TIA."
Life-Threatening Bleeding;Life-threatening bleeding refers to a situation where large amounts of blood loss occur either externally (outside the body) or internally (within the body). Life-threatening bleeding can occur whenever one or more of the body’s blood vessels are broken. It must be controlled immediately. Bleeding from arteries (arterial bleeding) is often rapid and profuse, and it is always life-threatening. This is because arterial blood is under direct pressure from the heart, so it usually spurts from the wound, making it difficult for clots to form. As a result, arterial bleeding is harder to control than bleeding from veins and capillaries. Veins are damaged more often than arteries because they are closer to the skin’s surface. Bleeding from veins (venous bleeding) is easier to control than arterial bleeding. Venous blood is under less pressure than arterial blood and flows from the wound at a steady rate without spurting. Only damage to veins deep in the body, such as those in the torso or thigh, produces profuse bleeding that is hard to control.
Prevention from Life-Threatening Bleeding;The following precautions may reduce the likelihood of an injury that causes life-threatening bleeding: Be familiar with your surroundings. Keep all sharp objects, such as knives, in a safe place. Get proper training on machinery in the workplace. Always follow the outlined safety procedures when operating equipment. Wear and use appropriate safety equipment at work and at home. Only use equipment for its intended purpose. Stay alert when operating equipment.
Signs of a Life-Threatening External Bleeding;"The signs and symptoms of life-threatening external bleeding include: Blood spurting or flowing freely from a wound; Blood that fails to clot after you have taken all measures to control bleeding; Large amounts of blood loss;"
Care for Life-Threatening External Bleeding;1. Expose the wound. 2. Apply firm and direct pressure to the wound. 3. While maintaining direct pressure, apply a dressing and bandage, and then secure them in place. 4. Reassess the wound to see if the pressure has stopped the bleeding. If not, consider using a tourniquet if the wound is on a limb.
Using a Tourniquet in Bleeding ;A tourniquet is a tight band placed around an extremity (an arm or leg). It constricts blood vessels to stop life-threatening bleeding in circumstances where normal bleeding control is impossible or ineffective. Tourniquets are commercially made, but they can also be improvised with any wide strip of material (e.g., a triangular bandage). If you find yourself in a situation where you need to apply a tourniquet, a commercially manufactured tourniquet is preferred over an improvised device. Follow the manufacturer’s instructions for applying the tourniquet. Although tourniquets may have slightly different designs, all are applied in generally the same way. Once a tourniquet is in place, you should not remove it for any reason. Using a tourniquet involves a level of risk, which must be balanced against the potential benefits. You should only apply a tourniquet in the following situations: The person has life-threatening external bleeding that cannot be controlled using direct pressure. The person is in a physical location that makes it impossible to apply direct pressure (e.g., the person or the person’s injured limb is trapped in a confined space). You must move the person and are unable to maintain direct pressure while doing so. 1. Apply the tourniquet 5 to 10 cm (2 to 4 in.) above the injury. If there is a joint in this range, apply the tourniquet above it, at least 2.5 cm (1 in.) away from the joint. 2. Tighten the tourniquet until the bleeding stops. 3. Secure the tourniquet in place. 4. Document the time the tourniquet was tightened.
Using Hemostatic Dressings;A hemostatic dressing is a dressing treated with a substance that speeds clot formation. As is the case with tourniquets, hemostatic dressings are used in cases of life-threatening bleeding where standard first aid procedures fail or are not practical. Typically, hemostatic dressings are used on parts of the body where a tourniquet cannot be applied, such as the neck or torso. A hemostatic dressing can also be used to control bleeding from an open wound on an arm or a leg if a tourniquet is ineffective. The hemostatic dressing is applied at the site of the bleeding (possibly inside the wound) and is used along with direct pressure.
Life-Threatening Internal Bleeding;"Internal bleeding is the escape of blood from arteries, veins, or capillaries into spaces in the body. Life-threatening internal bleeding usually occurs in injuries caused by a violent blunt force, such as when someone falls from a height. You should suspect internal bleeding after any injury that involved a forceful blow to the body. Internal bleeding may also occur when a sharp object, such as a knife, penetrates the skin and damages internal structures. Signs and symptoms of life-threatening internal bleeding include the following: Bruising in the injured area; Soft tissues (e.g., the abdomen) that are tender, swollen, or hard; Blood in saliva or vomit; Pain; Severe thirst, nausea, and vomiting; Anxiety."
What to do in case of Internal Bleeding ;Call EMS and get an AED. You cannot provide first aid for life-threatening internal bleeding as a First Aider. Life-threatening internal bleeding, especially if it results from damage to an organ, requires in hospital medical intervention. Help the injured person rest in the most comfortable position and provide continual care while waiting for EMS personnel. A person with life-threatening internal bleeding may be very thirsty, but giving anything by mouth (even water) can cause serious complications.
Cardiac Arrest;Cardiac arrest occurs when the heart stops beating or beats too ineffectively to circulate blood to the brain and other vital organs. Under normal circumstances, a network of special cells in the heart muscle conducts electrical impulses that coordinate contractions, causing the heart to beat rhythmically. In cardiac arrest, the electrical impulses become abnormal and chaotic. This causes the heart to lose the ability to beat rhythmically, or to stop beating altogether. The respiratory and circulatory systems are very closely linked. After breathing stops, it is not long before the heart stops. This is especially true in children: pediatric cardiac arrests are often the result of airway or breathing emergencies.
Sudden Cardiac Arrest;"Cardiac arrest can happen suddenly and without any warning signs; this is called sudden cardiac arrest. People who have a history of cardiovascular disease or a congenital heart disorder are at higher risk for sudden cardiac arrest. However, sudden cardiac arrest can happen in people who appear healthy and have no known heart disease or other risk factors for the condition. A person who experiences sudden cardiac arrest is unlikely to survive without immediate care."
Clinical and Biological Death;"Clinical death occurs when breathing stops and the heart stops beating. A person without a heartbeat is clinically dead. Because permanent brain damage does not begin for 4 to 6 minutes, clinical death is reversible with immediate care and intervention. Biological death occurs when the brain becomes irreversibly damaged, which occurs after about 8 to 10 minutes without oxygen. This is also called ""brain death."""
Common Causes of Cardiac Arrest;Cardiovascular disease is the most common cause of cardiac arrest. Other common causes include the following: Drowning, Severe blood loss, Suffocation or complete choking, Electrocution, Drug overdose, Severe chest injuries, Commotio cordis, Other heart diseases and abnormalities Cardiovascular disease and certain congenital heart conditions (i.e., conditions that a person is born with) can increase the risk of cardiac arrest. Breathing emergencies can also lead to cardiac arrest. For example, choking or drowning can interrupt the body’s supply of oxygen, causing the heart to stop beating. Every organ in the body needs a steady supply of oxygen in order to work properly, and the heart is no exception. Severe trauma, electrical shocks, and drug overdoses are other potential causes of cardiac arrest. Although cardiac arrest is more common in adults, it does occur in young people as well. The most common causes of cardiac arrest in children and babies are breathing emergencies, congenital heart disorders, and trauma. Cardiac arrest is a life-threatening condition, so starting CPR is the top priority. A person in cardiac arrest may have other conditions as well, such as a possible head, neck, or spinal injury, but caring for other injuries is lower priority than starting CPR and getting an AED. When a person experiences cardiac arrest, signs and symptoms may include the following: The person suddenly collapses. The person is unresponsive and not breathing, or is unresponsive with agonal breaths.
What to do in case of Cardiac Arrest;1. Place both of your hands on the centre of the person’s chest. 2. Do 30 compressions: Push down at least 5 cm (about 2 in.), pushing deeply and steadily. Allow the chest to fully recoil after each compression (do not lean on the chest). The chest compression rate should be between 100 and 120 beats per minute (30 compressions in 15 to 18 seconds). 3. Give 2 rescue breaths: Open the airway by doing a head-tilt/chin-lift. Place your barrier device over the person’s mouth and nose. If using a plastic face shield, seal your lips tightly over the person’s mouth and pinch the nose. If using a face mask, ensure it is fitted tightly over the mouth and nose. Give 2 rescue breaths. Each breath should last 1 second, with just enough volume to make the chest start to rise. 4. If both breaths go in, repeat the cycle of 30 compressions and 2 breaths. Do 30 compressions: Put 2 hands on the centre of the child’s chest. Push down at least 1/3 of the chest’s depth, pushing deeply and steadily. The chest compression rate should be between 100 and 120 beats per minute (30 compressions in 15 to 18 seconds). Allow the chest to fully recoil after each compression (do not lean on the chest). 2. Give 2 breaths: Open the airway by doing a head-tilt or chin-lift. Place your barrier device over the child’s mouth and nose. If using a plastic face shield, seal your lips tightly over the child’s mouth and pinch the nose. If using a face mask, ensure it is fitted tightly over the mouth and nose. Give 2 breaths. Each breath should last 1 second, with just enough volume to make the chest start to rise. 3. If both breaths go in, repeat the cycle of 30 compressions and 2 breaths.
Cardiac Arrest, Baby that less Than 12 Months. What to Do?;1. Do 30 compressions: Put 2 fingers on the middle of the baby’s chest, just below the nipple line. Push down at least 1/3 of the chest’s depth, pushing deep and pushing steady. The chest compression rate should be between 100 and 120 beats per minute (30 compressions in 15 to 18 seconds). Allow the chest to fully recoil after each compression (do not lean on the chest). 2. Give 2 breaths: Open the airway by doing a head-tilt/chin-lift. Place your barrier device over the baby’s mouth and nose. If using a plastic face shield, seal your lips tightly over the baby’s mouth and nose. If using a face mask, ensure it is fitted tightly over the mouth and nose. Give 2 breaths. Each breath should last 1 second, with just enough volume to make the chest start to rise. 3. If both breaths go in, repeat the cycle of 30 compressions and 2 breaths. Once you begin CPR, continue giving sets of 30 chest compressions and 2 rescue breaths until: EMS personnel take over. An AED is available and there is no one else who can apply the pads to the person’s chest. Another trained First Aider is available and can take over compressions. You have performed approximately 2 minutes of CPR for a child or baby (5 sets of 30 chest compressions and 2 rescue breaths) and you need to call EMS. You are alone and too tired to continue. The scene becomes unsafe. You notice an obvious sign of life, such as movement. If the person shows an obvious sign of life, stop CPR and check the person’s ABCs. If the person is breathing, place him or her in the recovery position, and continue to monitor the person’s condition until EMS personnel take over. 
What to do if the chest does not rise after the first breath;1. Reposition the head to adjust the airway, and attempt to give another breath. 2. If the second breath does not go in, begin the CPR sequence again (30 chest compressions). 3. After the 30 chest compressions, look in the person’s mouth. If you see an object, carefully remove it: With one hand, grasp the lower jaw and tongue (if possible) while opening the mouth. Place one finger from your other hand into the side of the person’s mouth, then sweep behind the object to lift it out. 4. After looking in the mouth (even if nothing is visible) open the airway and attempt to give a breath: If the breath goes in, give a second breath. If the breath does not go in, resume the CPR sequence (starting with 30 chest compressions). 5. Continue to give CPR. After each set of compressions and before attempting to give rescue breaths, look for an object in the person’s mouth and remove it if possible.
Compression-Only CPR;Compression-only CPR uses chest compressions (without rescue breaths) to pump the heart and circulate oxygen that is already in the person’s body. If you are unwilling or unable to give rescue breaths for any reason (e.g., you do not have a barrier device or the ill or injured person has facial trauma), compression-only CPR is acceptable. As a minimum, you should always perform compression-only CPR for any person in cardiac arrest. You are encouraged to perform traditional CPR (compressions with rescue breaths) whenever possible. Compression-only CPR is always better than no care, and can be effective. However, if you are caring for a child, a baby, or any person who entered cardiac arrest because of a respiratory problem (e.g., choking, drowning, anaphylaxis, asphyxiation), the person may not have much oxygen remaining in his or her blood, and circulating deoxygenated blood is not very useful. In these circumstances, traditional CPR with rescue breaths is the recommended method of care.
CPR Compression Depth for an Adult;When providing CPR to an adult, you should perform compressions in the middle of the chest on the lower half of the sternum. Push deeply and push steadily, ensuring a compression depth of at least 5 cm (about 2 in.), while avoiding excessive depths greater than 6 cm (about 2.5 in.). While there is a risk of injury with compression depths greater than 6 cm, these injuries tend to be non-life-threatening. It is more important to push deeply and push steadily than to worry about pushing too deeply.
CPR Compression Depth for a Child or a Baby;Because of the variation in size among children or babies, compression depth for this age group is measured as a fraction of the total chest depth, not in centimetres. When providing CPR to a child or baby (i.e., a person who has not yet reached puberty), you should perform chest compressions on the lower half of the sternum and depress the chest to at least 1/3 of its depth. Ideally, chest compressions should be at the upper limit of 1/2 of the front-to-back (anteroposterior) depth. CPR compression depths may be impacted by items such as heavy clothing (e.g., a winter coat or motorcycle jacket) or sports equipment. You should not delay starting CPR to remove them, but you may have to push harder to ensure that the minimum chest compression depth is reached.
Chest Compression Rates;"First Aiders should perform chest compressions at a rate of 100 to 120 beats per minute. Counting out loud as you give compressions can help you to keep a steady, even rhythm that allows time for adequate chest recoil. For compressions one through 12, say ""one and two and three and four and five and…"" up to 12. When you get to 13, say the numbers without saying “and” in between: ""13, 14, 15, 16…"" and so on. Push down as you say the number and come up as you say ""and"" or the second syllable of the number."
Chest Recoil;You should avoid leaning on the person’s chest wall in between compressions. Instead, ensure that the chest recoils fully. It is during recoil that the coronary arteries of the heart are filled with blood and the heart muscle gets oxygen. If you are leaning on the person’s chest between compressions, the coronary arteries will not get sufficient blood flow and heart death can occur. Remember: Compression is for the brain, recoil is for the heart.
CPR for a Pregnant Woman;When performing CPR for a pregnant woman, raising her right hip 7.5 to 10 cm (3 to 4 in.) will help blood return to the heart. If a bystander is available (or an appropriate object is within easy reach), ask the person to find a soft object that you can place under the woman’s hip, but do not interrupt or delay starting CPR to find an object yourself.
Air in the Stomach;When giving rescue breaths, it is important to keep the person’s head tilted back and breathe with just enough force to cause the chest to rise. Failing to tilt the head back, giving too much air in one breath, or blowing too forcefully can push air into the person’s stomach instead of into his or her lungs. Air in the stomach can make someone vomit. When an unresponsive person vomits, the stomach contents may get into the lungs—this is called aspiration. Aspiration makes giving rescue breaths more difficult and reduces the person’s chance of successful resuscitation. To prevent aspiration, remember to give breaths only until the chest starts to rise.
Vomiting during CPR procedure;In some situations a person may vomit while you are giving CPR. If this happens: 1. Turn the person onto his or her side, facing you. 2. Quickly wipe the person’s mouth clean. 3. Reposition the person on his or her back and continue with CPR.
Mouth-to-Nose Breathing;Sometimes you cannot seal your mouth over the person’s mouth to give rescue breaths because: The person’s jaw or mouth is injured. The person’s jaw or mouth is shut too tightly to open. Your mouth is too small to cover the person’s mouth. The person has blood coming out of his or her mouth. If this happens, tilt the person’s head as usual using a head-tilt/chin-lift and breathe into the person’s nose. Block or close the mouth with your hand to stop air from escaping.
Mouth-to-Stoma Breathing;Some people have had an operation to remove part of the trachea. They breathe through an opening called a stoma in the front of the neck. Because air passes directly into the trachea through the stoma instead of through the mouth and nose, you should give rescue breaths into the stoma. Block the person’s mouth and nose with your hand to stop air from escaping.
Automated External Defibrillation;"While CPR can help prevent brain damage and death by keeping oxygenated blood moving throughout the body, an automated external defibrillator (AED) can correct the underlying problem for some people who go into sudden cardiac arrest. Two abnormal heart rhythms in particular, ventricular fibrillation (V-fib) and ventricular tachycardia (V-tach), can lead to sudden cardiac arrest. In V-fib, the heart muscle quivers weakly (""fibrillates"") instead of contracting strongly. In V-tach, the heart muscle contracts too rapidly (""tachy-"" means ""fast""). Both of these rhythms impair the heart’s ability to pump and circulate blood throughout the body and both are life-threatening. In many cases, an electrical shock delivered by an AED can correct V-fib and V-tach rhythms. The shock disrupts the heart’s electrical activity long enough for it to spontaneously develop an effective rhythm on its own. Using an AED as soon as possible (along with starting CPR immediately) gives the person the best chance of surviving cardiac arrest. Different types of AEDs are available, but all are similar to operate and guide you using visual displays, voice prompts, or both. If your place of employment has an AED on site, know where it is located, how to operate it, and what the procedures around it are (e.g., for reporting its use or replacing its batteries). Also take note of the location of AEDs in public places that you frequent, such as shopping centres, airports, recreation centres, and sports arenas. In more than 80% of all sudden cardiac deaths, the person’s heart rhythm is ""shockable"" (ventricular tachycardia or ventricular fibrillation). In other words, defibrillation could have helped. If the person’s heart has no electrical activity (asystole or flatline), defibrillation won’t help. For each minute that the person has to wait for defibrillation, the chance of survival drops between 7 and 10%."
Using an AED;"1. Open and turn on the AED. 2. Prepare to apply the AED pads: Remove or cut away clothing and undergarments to expose the person’s chest, and move or remove any objects (including jewellery) that could come into contact with the pads. If the person’s chest is wet, dry it using a towel or gauze pad. Dry skin helps the AED pads to stick properly. Small amounts of chest hair will not interfere with pad adhesion. If the person has thick chest hair, shave the areas where the pads will be placed using the razor included with the AED prep kit. 3. Check if the person has an implanted pacemaker: Look on the chest for a small scar and a lump about the size of a matchbox. Apply the AED pads approximately 2.5 cm (1 in.) away from the pacemaker. 4. Apply the AED pads: Use the appropriate size of pads—adult, child, or baby. A child is considered to be between 1 and 8 years old. If child AED pads are unavailable, use adult pads. A baby is considered to be 1 year old or less. If baby AED pads are unavailable, use child or adult pads. Follow the diagrams on the pads to position them correctly on the person. Pads must be placed at least 2.5 cm (1 in.) apart. If there is not enough space on the chest to leave 2.5 cm (1 in.) between the pads, place one pad on the person’s chest (anterior) and one on the person’s back (posterior). 5. Follow the AED’s prompts to ""Analyze Heart Rhythm:"" Most AEDs will begin to analyze the heart rhythm automatically, but some may require you to push an ""analyze"" button to start this process. No one should touch the person while the AED is analyzing the heart rhythm because this could result in a faulty reading. 6. If the AED prompts you to do so, deliver the shock: Stand clear and say ""I’m clear, you’re clear, everybody’s clear."" Ensure that no one is touching the person (as they can be shocked too), then press the ""shock"" button. 7. After a shock is delivered (or if the AED determines that no shock is necessary), immediately resume CPR, starting with compressions. 8. Continue to follow the AED’s automated prompts. The AED will continue to check the heart rhythm every 2 minutes. Listen for prompts from the AED and continue giving CPR and using the AED until you notice an obvious sign of life or EMS personnel arrive. If you notice an obvious sign of life, stop CPR, but leave the AED turned on and the pads in place on the person’s chest. Continue to follow the AED’s prompts."
Breathing Emergencies;A person who is having difficulty breathing is in respiratory distress. A person who is not breathing is in respiratory arrest. Both respiratory distress and respiratory arrest are breathing emergencies. Respiratory distress is especially dangerous in children, as it can quickly lead to cardiac arrest. Any child showing signs of respiratory distress is in a potentially life-threatening situation and must receive immediate care. When a person is experiencing a breathing emergency, the oxygen supply to the person’s body is either greatly reduced or cut off entirely, so it is important to act at once. If breathing stops or is restricted long enough, the person will become unresponsive, the heart will stop beating, and body systems will quickly fail. Brain cells begin to die after 4 to 6 minutes without oxygen. A breathing problem can be identified by watching and listening to the person’s breathing and by asking the person how he or she feels. If a person is having trouble breathing, do not wait to see if his or her condition improves without intervention, but begin providing care immediately.
Respiratory Distress - Common Causes and What to look for;"Respiratory distress may be caused by any of the following: Hyperventilation; Asthma or chronic obstructive pulmonary disease (COPD); Pneumonia or bronchitis; An allergic reaction; Anaphylaxis;  A heart attack or heart failure;  Chest trauma;  Poisoning;  A drug overdose;  Electrocution;  Certain mental health conditions (as an example - panic disorders); The following are signs and symptoms of respiratory distress: Shortness of breath or gasping for breath; Trouble speaking in complete sentences (due to difficulty breathing); Wheezing, gurgling, or high-pitched noises , Breathing abnormally quickly or slowly; Unusually deep or shallow breathing; Cool, moist skin; Bluish or ashen (grey) skin; Flushed or pale skin; Feelings of fear; Dizziness or light-headedness;"
Care for Respiratory Distress ;1. If the person carries medication for respiratory distress, offer to help the person take his or her medication. 2. Encourage the person to sit down in a comfortable position (leaning forward may help make breathing easier). 3. Provide reassurance, as this can help reduce anxiety and help the person control his or her breathing. 4. Monitor the person’s condition and provide continual care until EMS personnel arrive.
Common cases of Hyperventilation ;"Hyperventilation is a condition in which a person is breathing much more quickly than usual. This upsets the body’s balance of oxygen and carbon dioxide. The following are common causes of hyperventilation: Strong emotions such as excitement, fear, or anxiety; Asthma; Injuries, especially injuries to the head; Exercise; Life-threatening bleeding. Prevention - If you tend to hyperventilate due to anxiety, panic, or stress, relaxation techniques such as breathing exercises may help. If you hyperventilate due to a diagnosed medical condition, speaking to your doctor will help you learn how to treat or control it. The following are signs and symptoms of hyperventilation: Rapid, shallow breathing; A feeling of suffocating or not getting enough air; Fear, anxiety, or confusion; A feeling of dizziness; Numbness or tingling of the fingers and toes; Muscle contractions, usually in the hands, feet, arms, and legs; "
What to do in case of Hyperventilation;1. Encourage the person to take controlled breaths by breathing in slowly, holding his or her breath for a few seconds, and then gradually exhaling. Myth: If a person is hyperventilating, you should have him or her breathe into a paper bag. This practice is unsafe and not recommended as a way to care for a hyperventilating person. The best way to treat hyperventilation is to encourage the person to take slow, controlled breaths.
Common causes, care and prevention of Asthma ;"Many people have asthma—a chronic illness in which certain substances or conditions (i.e., triggers) cause inflammation and swelling of the bronchioles (i.e., the small tubes at the base of the lungs), making it harder for air to move in and out of the lungs. Asthma is more common in children. People who have asthma usually know what can trigger an attack and take measures to avoid these triggers. Asthma is usually controlled with medication. Asthma can be triggered by: Air pollution or poor air quality (e.g., cigarette smoke); Allergies (e.g., to pollen, food, drugs, insect stings, or animals); Temperature fluctuations, extreme humidity, or extreme dryness; Strong odours (e.g., perfume, cologne, scented cleaning products); Colds and flus;  Physical activity; Respiratory infections;  Stress or anxiety; If you have asthma, the following precautions may help to prevent attacks: Know what triggers your attacks and avoid them if possible. Ensure that prescribed medication is always easily accessible in case of an attack. If a child has asthma: Make sure that anyone who supervises the child knows about the asthma and how to help give medication if necessary. There are two main types of medication used by people with asthma: Long-term control medication and quick-relief (rescue) medication. A person with asthma may take one, both, or neither of them. Both longterm control medications and quick-relief (rescue) medications may be given through an inhaler, through a nebulizer, or orally. Long-term control medications, sometimes called ""preventers,"" are taken regularly, whether or not signs and symptoms of asthma are present. These medications help prevent asthma attacks by reducing inflammation and swelling and by making the bronchioles less sensitive to triggers. Quick-relief (rescue) medications are taken when a person is experiencing an acute asthma attack. These medications are sometimes called ""bronchodilators,"" because they work quickly to relax the muscles that tighten around the bronchioles, opening (dilating) them immediately so that the person can breathe more easily. Even when a person takes steps to manage his or her asthma by avoiding triggers and taking prescribed long-term control medications, he or she may still occasionally experience asthma attacks. The signs and symptoms of an asthma attack include the following: Wheezing or coughing, especially when exhaling; Gasping for air; Shortness of breath (feeling unable to get enough air into the lungs) , Rapid, shallow breathing (or trouble breathing); Anxiety and fear; Tightness in the chest; Tingling in the hands and feet; Sweating; Inability to say more than a few words without pausing to breathe. What to do when dealing with asthma: 1. Eliminate any asthma triggers, if possible. If something in the environment is causing the attack, move the person away from the area if it is safe to do so. 2. Help the person get into a comfortable position and provide reassurance. 3. Help the person to take any prescribed quick-relief asthma medication that he or she has available."
Providing Care for an Asthma Attack: Using an Asthma Action Plan;Using an Inhaler: 1. Rapidly shake the inhaler 3 or 4 times. 2. Remove the cap from the inhaler. 3. Breathe out as much air as possible, away from the inhaler. 4. Bring the inhaler to the mouth. 5. Press the top of the inhaler while taking one slow, full breath. 6. Hold the breath for as long as is comfortable (up to 10 seconds), and then breathe out. Using an Inhaler with a Spacer: 1. Rapidly shake the inhaler 3 or 4 times. 2. Remove the cap from the inhaler. 3. Remove the spacer’s cap (if it has one), and put the inhaler into the spacer. 4. Bring the spacer to the mouth. 5. Press the top of the inhaler once to dispense the medication into the spacer. 6. Take slow, deep breaths, holding each breath for a several seconds (if possible).
Allergic Reactions;Normally, our immune systems help to keep us healthy by fighting off harmful pathogens that can cause disease. In a person with an allergy, however, the immune system can react to normally harmless substances to produce allergic reactions. An allergic reaction occurs in two stages. First, the immune system mistakes a normally harmless substance for a dangerous invader and produces antibodies that remain on alert for that particular allergen. When the body is exposed to the allergen again, these antibodies release a number of immune system chemicals, such as histamine, that cause allergy symptoms. While certain substances are more common as allergens (e.g., peanuts and pollen), almost anything can produce an allergic reaction. The 80 severity of an allergic reaction depends on the person. It can be as minor as a slight irritation or as serious as a life-threatening emergency (anaphylaxis). The signs and symptoms of an allergic reaction depend on the trigger, but they typically involve the airways, skin, sinuses, nasal passages, cardiovascular system, and digestive systems.
Preventing Allergic Reactions in a Child You Are Caring For;"Discuss the allergy with the parent or guardian before you begin caring for the child, and ask at least the following questions: What is your child allergic to? What signs will tell us that your child is having an allergic reaction? What should we do if your child has a reaction? Has the doctor prescribed any allergy medication? For instance, should you give us your child’s epinephrine auto-injector? Make a list of the allergies of each child under your care, and keep it in a location where you can refer to it easily, especially in cooking and food service areas. Be sure to read all the ingredients on all food package labels when preparing and cooking food. Before serving a food that is a common allergen (e.g., eggs, shellfish, milk, nuts), ensure that the parent or guardian has given it to the child at home without causing a reaction. Signs and symptoms of an allergic reaction can range from mild to very severe and include the following: Runny, itchy, or stuffy nose; Sneezing; Watery, itchy, red, or swollen eyes; Nausea, vomiting, or diarrhea; A rash or hives (raised, itchy areas of skin); Tingling of the mouth; Swelling of the lips, tongue, face, or throat; Coughing, chest tightness, wheezing, or shortness of breath; Weakness, dizziness, or confusion;"
Intensive care of Allergic Reactions ;1. Calm and reassure the person. 2. Try to identify the allergen and have the person avoid further contact with it. 3. Watch the person for signs of increasing distress. 4. If the person uses a medication to control allergic reactions (such as antihistamines), help him or her to take it. Antihistamines: An antihistamine is a medication that counteracts the effects of histamine (a chemical released by the body during an allergic reaction). Antihistamines are supplied as pills, capsules, or liquids and are taken by mouth. The person should take the antihistamine according to the medication label and his or her healthcare provider’s instructions.
